sample,AFR,AMR,EAS,EUR,SAS
HG03472,1.0000,0.0000,0.0000,0.0000,0.0000
HG03925,0.0000,0.0000,0.0922,0.0000,0.9078
HG00879,0.0000,0.0000,1.0000,0.0000,0.0000
HG02283,0.8444,0.0000,0.0000,0.1556,0.0000
NA18853,1.0000,0.0000,0.0000,0.0000,0.0000
HG02317,1.0000,0.0000,0.0000,0.0000,0.0000
HG00559,0.0000,0.0000,1.0000,0.0000,0.0000
NA18504,1.0000,0.0000,0.0000,0.0000,0.0000
HG01695,0.0458,0.0000,0.0000,0.9542,0.0000
HG01776,0.0000,0.0000,0.0000,1.0000,0.0000
NA20885,0.0000,0.0000,0.0000,0.1565,0.8435
NA19651,0.0000,0.6529,0.0000,0.3471,0.0000
HG00187,0.0000,0.0000,0.0528,0.9472,0.0000
HG03048,1.0000,0.0000,0.0000,0.0000,0.0000
NA19756,0.0000,0.9567,0.0433,0.0000,0.0000
NA20536,0.0000,0.0000,0.0000,1.0000,0.0000
NA20541,0.0000,0.0000,0.0000,1.0000,0.0000
HG03132,1.0000,0.0000,0.0000,0.0000,0.0000
HG01606,0.0000,0.0000,0.0000,1.0000,0.0000
HG00114,0.0000,0.0000,0.0000,1.0000,0.0000
HG01241,0.7066,0.2153,0.0000,0.0781,0.0000
NA18597,0.0000,0.0000,1.0000,0.0000,0.0000
HG00524,0.0000,0.0000,1.0000,0.0000,0.0000
HG02384,0.0000,0.0000,1.0000,0.0000,0.0000
NA18954,0.0000,0.0001,0.9999,0.0000,0.0000
NA18579,0.0000,0.0000,1.0000,0.0000,0.0000
NA21127,0.0000,0.0000,0.0000,0.0000,1.0000
HG04025,0.0000,0.0000,0.0000,0.0000,1.0000
HG00383,0.0000,0.0000,0.0433,0.9567,0.0000
HG01852,0.0000,0.0000,1.0000,0.0000,0.0000
NA19455,1.0000,0.0000,0.0000,0.0000,0.0000
HG01491,0.0000,0.4083,0.0000,0.5917,0.0000
HG03246,1.0000,0.0000,0.0000,0.0000,0.0000
HG01572,0.0000,0.9183,0.0817,0.0000,0.0000
HG02069,0.0000,0.0000,0.9890,0.0000,0.0110
HG00650,0.0000,0.0000,1.0000,0.0000,0.0000
HG02087,0.0000,0.0000,0.9823,0.0000,0.0177
HG02113,0.0000,0.0000,1.0000,0.0000,0.0000
HG03698,0.0000,0.0000,0.0000,0.0000,1.0000
NA19012,0.0000,0.0000,1.0000,0.0000,0.0000
HG02180,0.0000,0.0000,1.0000,0.0000,0.0000
HG03771,0.0000,0.0000,0.0000,0.0000,1.0000
NA20296,0.8206,0.0000,0.0000,0.1794,0.0000
HG03692,0.0000,0.0000,0.0000,0.0000,1.0000
HG03706,0.0000,0.0000,0.0000,0.0000,1.0000
HG01148,0.0000,0.6947,0.0000,0.3053,0.0000
NA20278,0.5165,0.0000,0.0000,0.4835,0.0000
NA19081,0.0000,0.0000,1.0000,0.0000,0.0000
HG00284,0.0000,0.0000,0.0359,0.9641,0.0000
HG00310,0.0000,0.0000,0.0196,0.9804,0.0000
HG00367,0.0000,0.0000,0.0000,1.0000,0.0000
HG02973,1.0000,0.0000,0.0000,0.0000,0.0000
HG02890,1.0000,0.0000,0.0000,0.0000,0.0000
HG01858,0.0000,0.0000,1.0000,0.0000,0.0000
HG01596,0.0000,0.0000,0.9763,0.0000,0.0237
NA19908,0.9363,0.0000,0.0000,0.0637,0.0000
HG02681,0.0000,0.0000,0.0000,0.2184,0.7816
HG02715,1.0000,0.0000,0.0000,0.0000,0.0000
HG03007,0.0000,0.0000,0.0926,0.0000,0.9074
NA19719,0.0000,1.0000,0.0000,0.0000,0.0000
HG03193,1.0000,0.0000,0.0000,0.0000,0.0000
NA19663,0.0000,0.9377,0.0623,0.0000,0.0000
NA19780,0.0000,0.8639,0.0000,0.1361,0.0000
HG02325,1.0000,0.0000,0.0000,0.0000,0.0000
NA18861,1.0000,0.0000,0.0000,0.0000,0.0000
NA18536,0.0000,0.0000,1.0000,0.0000,0.0000
NA18541,0.0000,0.0000,1.0000,0.0000,0.0000
HG01374,0.0000,0.6092,0.0000,0.3908,0.0000
HG03437,1.0000,0.0000,0.0000,0.0000,0.0000
HG01303,0.0648,0.5460,0.0000,0.3892,0.0000
HG03917,0.0000,0.0000,0.0889,0.0000,0.9111
HG03960,0.0000,0.0000,0.0000,0.0000,1.0000
NA12761,0.0000,0.0000,0.0000,1.0000,0.0000
NA12716,0.0000,0.0000,0.0000,1.0000,0.0000
HG02255,0.9782,0.0000,0.0000,0.0218,0.0000
NA18966,0.0000,0.0000,1.0000,0.0000,0.0000
HG03867,0.0000,0.0000,0.0000,0.0000,1.0000
HG01204,0.0687,0.3322,0.0000,0.5991,0.0000
HG01390,0.2392,0.6772,0.0000,0.0836,0.0000
HG02768,1.0000,0.0000,0.0000,0.0000,0.0000
HG04219,0.0000,0.0000,0.0000,0.0000,1.0000
HG00151,0.0000,0.0000,0.0000,1.0000,0.0000
HG00126,0.0000,0.0000,0.0000,1.0000,0.0000
HG02786,0.0000,0.0000,0.0000,0.0000,1.0000
NA19713,0.7834,0.0000,0.0000,0.2166,0.0000
HG03199,1.0000,0.0000,0.0000,0.0000,0.0000
NA19764,0.0000,0.9121,0.0000,0.0879,0.0000
HG03100,1.0000,0.0000,0.0000,0.0000,0.0000
NA19669,0.0000,0.7361,0.0292,0.2347,0.0000
NA20504,0.0000,0.0000,0.0000,1.0000,0.0000
NA19057,0.0000,0.0000,0.9480,0.0520,0.0000
NA19020,1.0000,0.0000,0.0000,0.0000,0.0000
HG03644,0.0000,0.0000,0.0000,0.0000,1.0000
NA18745,0.0000,0.0000,1.0000,0.0000,0.0000
NA18648,0.0000,0.0199,0.9801,0.0000,0.0000
HG02156,0.0000,0.0000,1.0000,0.0000,0.0000
HG00662,0.0000,0.0000,1.0000,0.0000,0.0000
NA19467,1.0000,0.0000,0.0000,0.0000,0.0000
HG01817,0.0000,0.0000,1.0000,0.0000,0.0000
HG01860,0.0000,0.0000,0.9996,0.0000,0.0004
HG01537,0.0000,0.0000,0.0000,1.0000,0.0000
HG00328,0.0000,0.0000,0.0224,0.9776,0.0000
HG02485,0.7717,0.0000,0.0000,0.2283,0.0000
HG04017,0.0000,0.0000,0.0000,0.0000,1.0000
HG02511,1.0000,0.0000,0.0000,0.0000,0.0000
HG04183,0.0000,0.0006,0.0959,0.0000,0.9035
HG01447,0.0000,0.6836,0.0000,0.3164,0.0000
HG01967,0.0000,0.9565,0.0435,0.0000,0.0000
NA20799,0.0000,0.0000,0.0000,1.0000,0.0000
NA12058,0.0000,0.0000,0.0000,1.0000,0.0000
HG00355,0.0000,0.0000,0.0000,1.0000,0.0000
HG02582,1.0000,0.0000,0.0000,0.0000,0.0000
HG00258,0.0000,0.0000,0.0000,1.0000,0.0000
NA12155,0.0000,0.0000,0.0000,1.0000,0.0000
HG02941,1.0000,0.0000,0.0000,0.0000,0.0000
HG03743,0.0000,0.0000,0.0000,0.0000,1.0000
HG01077,0.1584,0.4974,0.0000,0.3442,0.0000
NA11919,0.0000,0.0000,0.0000,1.0000,0.0000
HG02026,0.0000,0.0000,0.9997,0.0000,0.0003
NA18642,0.0000,0.0388,0.9612,0.0000,0.0000
NA18635,0.0000,0.0000,1.0000,0.0000,0.0000
HG03485,1.0000,0.0000,0.0000,0.0000,0.0000
HG03511,1.0000,0.0000,0.0000,0.0000,0.0000
NA19375,1.0000,0.0000,0.0000,0.0000,0.0000
HG03846,0.0000,0.0000,0.0000,0.0000,1.0000
NA18947,0.0000,0.0000,1.0000,0.0000,0.0000
HG02397,0.0000,0.0000,1.0000,0.0000,0.0000
HG02379,0.0000,0.0000,1.0000,0.0000,0.0000
NA19648,0.0000,0.1738,0.0000,0.8262,0.0000
NA20525,0.0000,0.0000,0.0000,1.0000,0.0000
HG03121,1.0000,0.0000,0.0000,0.0000,0.0000
NA20908,0.0000,0.0000,0.0000,0.0000,1.0000
HG01781,0.0000,0.0000,0.0000,1.0000,0.0000
NA20805,-0.0000,0.0000,0.0000,1.0000,0.0000
NA19732,0.0000,0.8328,0.1672,0.0000,0.0000
HG00107,0.0000,0.0000,0.0000,1.0000,0.0000
HG04238,0.0000,0.0000,0.0000,0.0000,1.0000
HG01686,0.0000,0.0000,0.0000,1.0000,0.0000
HG00099,0.0000,0.0000,0.0000,1.0000,0.0000
HG02734,0.0000,0.0000,0.0000,0.2333,0.7667
NA19391,1.0000,0.0000,0.0000,0.0000,0.0000
HG03941,0.0000,0.0000,0.0000,0.0000,1.0000
NA19308,1.0000,0.0000,0.0000,0.0000,0.0000
NA18560,0.0000,0.0000,1.0000,0.0000,0.0000
NA18517,1.0000,0.0000,0.0000,0.0000,0.0000
HG02373,0.0000,0.0000,1.0000,0.0000,0.0000
HG04131,0.0000,0.0000,0.1103,0.0000,0.8897
HG04146,0.0000,0.0000,0.1059,0.0000,0.8941
HG01488,0.1194,0.3903,0.0000,0.4903,0.0000
HG03228,0.0000,0.0000,0.0000,0.0000,1.0000
HG03352,1.0000,0.0000,0.0000,0.0000,0.0000
NA19982,0.9286,0.0000,0.0000,0.0714,0.0000
NA20756,0.0000,0.0000,0.0000,1.0000,0.0000
NA18614,0.0000,0.0000,1.0000,0.0000,0.0000
HG02070,0.0000,0.0000,1.0000,0.0000,0.0000
NA19171,1.0000,0.0000,0.0000,0.0000,0.0000
NA19092,1.0000,0.0000,0.0000,0.0000,0.0000
HG03762,0.0000,0.0000,0.0000,0.0000,1.0000
HG03681,0.0000,0.0000,0.0000,0.0000,1.0000
HG00634,0.0000,0.0000,1.0000,0.0000,0.0000
HG00739,0.0199,0.1872,0.0000,0.7928,0.0000
NA19098,1.0000,0.0000,0.0000,0.0000,0.0000
HG03786,0.0000,0.0000,0.0000,0.0000,1.0000
NA11932,0.0000,0.0000,0.0000,1.0000,0.0000
NA19076,0.0000,0.0000,1.0000,0.0000,0.0000
NA12004,0.0000,0.0000,0.0000,1.0000,0.0000
HG00309,0.0000,0.0000,0.0437,0.9563,0.0000
HG01516,-0.0000,0.0000,0.0000,1.0000,0.0000
HG01841,0.0000,0.0000,1.0000,0.0000,0.0000
NA19446,1.0000,0.0000,0.0000,0.0000,0.0000
HG00142,0.0000,0.0000,0.0000,1.0000,0.0000
HG02601,0.0000,0.0000,0.0000,0.1187,0.8813
NA12342,0.0000,0.0000,0.0000,1.0000,0.0000
NA20517,0.0000,0.0000,0.0000,1.0000,0.0000
NA19700,0.8466,0.0000,0.0000,0.1534,0.0000
NA19777,0.0000,1.0000,0.0000,0.0000,0.0000
HG03069,1.0000,0.0000,0.0000,0.0000,0.0000
NA18975,0.0000,0.0000,1.0000,0.0000,0.0000
HG02231,0.0000,0.0000,0.0000,1.0000,0.0000
NA20127,0.9498,0.0000,0.0000,0.0502,0.0000
NA19347,1.0000,0.0000,0.0000,0.0000,0.0000
HG03803,0.0000,0.0000,0.0867,0.0000,0.9133
NA18552,0.0000,0.0000,1.0000,0.0000,0.0000
NA12778,0.0000,0.0000,0.0000,1.0000,0.0000
HG00475,0.0000,0.0000,1.0000,0.0000,0.0000
HG03890,0.0000,0.0000,0.0000,0.0000,1.0000
HG01389,0.0178,0.4023,0.0000,0.5799,0.0000
HG03973,0.0000,0.0000,0.0000,0.0000,1.0000
HG00148,0.0000,0.0000,0.0000,1.0000,0.0000
NA10851,0.0000,0.0000,0.0000,1.0000,0.0000
HG02771,1.0000,0.0000,0.0000,0.0000,0.0000
NA19670,0.0000,1.0000,0.0000,0.0000,0.0000
HG01757,0.0065,0.0000,0.0000,0.9935,0.0000
HG03727,0.0000,0.0000,0.0000,0.0000,1.0000
HG01187,0.1135,0.6963,0.0000,0.1902,0.0000
HG03750,0.0000,0.0000,0.0000,0.0000,1.0000
HG02138,0.0000,0.0000,1.0000,0.0000,0.0000
HG02035,0.0000,0.0000,1.0000,0.0000,0.0000
HG01974,0.0000,0.8538,0.1462,0.0000,0.0000
HG01879,0.8856,0.0000,0.0000,0.1144,0.0000
NA21098,0.0000,0.0000,0.0000,0.0000,1.0000
HG02508,0.9711,0.0000,0.0000,0.0289,0.0000
HG00331,0.0000,0.0000,0.0296,0.9704,0.0000
NA19923,0.6605,0.0000,0.0000,0.3395,0.0000
HG01524,0.0000,0.0000,0.0000,1.0000,0.0000
NA19474,1.0000,0.0000,0.0000,0.0000,0.0000
HG01990,0.9618,0.0000,0.0000,0.0382,0.0000
HG01804,0.0000,0.0000,1.0000,0.0000,0.0000
HG02496,0.9634,0.0000,0.0000,0.0366,0.0000
HG02502,0.8637,0.0000,0.0000,0.1363,0.0000
NA21106,0.0000,0.0000,0.0000,0.0000,1.0000
HG02855,1.0000,0.0000,0.0000,0.0000,0.0000
NA11894,0.0000,0.0000,0.0000,1.0000,0.0000
HG01080,0.0581,0.6169,0.0000,0.3250,0.0000
HG02048,0.0000,0.0000,1.0000,0.0000,0.0000
HG03757,0.0000,0.0000,0.0004,0.0000,0.9996
HG01063,0.3349,0.3850,0.0000,0.2802,0.0000
NA11994,0.0000,0.0000,0.0000,1.0000,0.0000
HG01119,0.0000,0.3520,0.0000,0.6480,0.0000
HG02032,-0.0000,0.0000,1.0000,0.0000,0.0000
HG01809,0.0000,0.0000,1.0000,0.0000,0.0000
NA20763,0.0000,0.0000,0.0000,1.0000,0.0000
HG01973,0.0000,0.9109,0.0891,0.0000,0.0000
HG02402,0.0000,0.0000,1.0000,0.0000,0.0000
HG00336,0.0000,0.0000,0.0428,0.9572,0.0000
HG04090,0.0000,0.0000,0.0000,0.0000,1.0000
HG00341,0.0000,0.0000,0.0306,0.9694,0.0000
HG04173,0.0000,0.0000,0.0852,0.0000,0.9148
HG01874,0.0000,0.0000,1.0000,0.0000,0.0000
NA19473,1.0000,0.0000,0.0000,0.0000,0.0000
NA20787,0.0000,0.0000,0.0000,1.0000,0.0000
HG02852,1.0000,0.0000,0.0000,0.0000,0.0000
HG02505,0.9439,0.0000,0.0000,0.0561,0.0000
HG00231,0.0000,0.0000,0.0000,1.0000,0.0000
HG02491,0.0000,0.0005,0.0000,0.1209,0.8786
NA20359,0.8104,0.0000,0.0000,0.1896,0.0000
HG01069,0.0550,0.4237,0.0000,0.5213,0.0000
NA19043,1.0000,0.0000,0.0000,-0.0000,0.0000
HG01113,0.0000,0.6870,0.0000,0.3130,0.0000
HG01164,0.0775,0.3521,0.0000,0.5704,0.0000
HG00698,0.0000,0.0000,1.0000,0.0000,0.0000
HG02142,0.0000,0.0000,0.9195,0.0805,0.0000
HG02792,0.0000,0.0000,0.0000,0.0000,1.0000
HG00132,0.0000,0.0000,0.0000,1.0000,0.0000
NA19770,0.0000,1.0000,0.0000,0.0000,0.0000
NA19707,0.7661,0.0000,0.0000,0.2339,0.0000
HG03019,0.0000,0.0000,0.0000,0.0000,1.0000
NA20510,0.0000,0.0000,0.0000,1.0000,0.0000
HG01620,0.0124,0.0000,0.0000,0.9876,0.0000
HG03114,1.0000,0.0000,0.0000,0.0000,0.0000
NA12775,0.0000,0.0000,0.0000,1.0000,0.0000
NA18528,0.0000,0.0244,0.9756,0.0000,0.0000
HG03873,0.0000,0.0000,0.0000,0.0000,1.0000
HG00472,0.0000,0.0000,1.0000,0.0000,0.0000
NA18555,0.0000,0.0000,1.0000,0.0000,0.0000
HG01360,0.0000,0.6470,0.0000,0.3530,0.0000
HG03974,0.0000,0.0000,0.0000,0.0000,1.0000
HG03559,1.0000,0.0000,0.0000,0.0000,0.0000
HG03897,0.0000,0.0000,0.0000,0.0000,1.0000
HG00138,0.0000,0.0000,0.0000,1.0000,0.0000
HG03064,1.0000,0.0000,0.0000,0.0000,0.0000
NA19794,0.0000,0.7189,0.0000,0.2811,0.0000
HG04141,0.0000,0.0000,0.1103,0.0000,0.8897
HG00373,0.0000,0.0000,0.0429,0.9571,0.0000
HG00304,0.0000,0.0000,0.0432,0.9568,0.0000
HG00290,0.0000,0.0000,0.0419,0.9581,0.0000
HG02884,1.0000,0.0000,0.0000,0.0000,0.0000
HG01461,0.0966,0.9034,0.0000,0.0000,0.0000
HG01941,0.0000,0.9261,0.0739,0.0000,0.0000
HG01936,0.0000,0.9177,0.0823,0.0000,0.0000
HG03258,1.0000,0.0000,0.0000,0.0000,0.0000
NA12814,0.0000,0.0000,0.0000,1.0000,0.0000
HG00743,0.0435,0.6311,0.0000,0.3254,0.0000
HG00734,0.0468,0.5702,0.0000,0.3829,0.0000
NA18613,0.0000,0.0000,1.0000,0.0000,0.0000
NA19198,1.0000,0.0000,0.0000,0.0000,0.0000
NA20282,0.7774,0.0000,0.0000,0.2226,0.0000
HG01051,0.1764,0.5063,0.0000,0.3173,0.0000
HG03765,0.0000,0.0000,0.0000,0.1839,0.8161
NA19095,1.0000,0.0000,0.0000,0.0000,0.0000
HG02107,1.0000,0.0000,0.0000,0.0000,0.0000
HG03718,0.0000,0.0000,0.0000,0.0000,1.0000
NA19006,0.0000,0.0000,1.0000,0.0000,0.0000
HG03615,0.0000,0.0000,0.0827,0.0000,0.9173
HG01121,0.0000,0.7588,0.0000,0.2412,0.0000
NA12003,0.0000,0.0000,0.0000,1.0000,0.0000
HG02817,1.0000,0.0000,0.0000,0.0000,0.0000
HG02983,1.0000,0.0000,0.0000,0.0000,0.0000
HG00379,0.0000,0.0000,0.0000,1.0000,0.0000
NA21133,0.0000,0.0000,0.0000,0.0000,1.0000
HG00274,0.0000,0.0000,0.0231,0.9769,0.0000
NA19436,1.0000,0.0000,0.0000,0.0000,0.0000
NA19916,0.9482,0.0000,0.0000,0.0518,0.0000
HG01485,0.3236,0.6764,0.0000,0.0000,0.0000
NA19372,1.0000,0.0000,0.0000,0.0000,0.0000
HG02309,0.9668,0.0000,0.0000,0.0332,0.0000
HG02390,0.0000,0.0000,1.0000,0.0000,0.0000
NA19735,0.0000,0.8693,0.1307,0.0000,0.0000
NA20802,0.0000,0.0000,0.0000,1.0000,0.0000
NA20875,0.0000,0.0000,0.0000,0.0000,1.0000
HG01768,0.0000,0.0000,0.0000,1.0000,0.0000
HG03126,1.0000,0.0000,0.0000,0.0000,0.0000
NA20522,0.0000,0.0000,0.0000,1.0000,0.0000
NA06994,0.0000,0.0000,0.0000,1.0000,0.0000
HG00177,0.0000,0.0000,0.0730,0.9270,0.0000
HG02643,1.0000,0.0000,0.0000,0.0000,0.0000
HG00100,0.0000,0.0000,0.0000,1.0000,0.0000
HG01762,0.0000,0.0000,0.0000,1.0000,0.0000
HG03021,0.0000,0.0000,0.0000,0.0000,1.0000
NA20808,0.0000,0.0000,0.0000,1.0000,0.0000
NA20528,0.0000,0.0000,0.0000,1.0000,0.0000
NA20891,0.0000,0.0000,0.0000,0.1519,0.8481
HG04235,0.0000,0.0000,0.0000,0.0000,1.0000
HG02649,0.0000,0.0000,0.0000,0.3035,0.6965
NA19378,1.0000,0.0000,0.0000,0.0000,0.0000
HG03931,0.0000,0.0000,0.1106,0.0000,0.8894
HG03488,0.0000,0.0000,0.0000,0.2103,0.7897
HG02374,0.0000,0.0000,1.0000,0.0000,0.0000
NA18567,0.0000,0.0000,1.0000,0.0000,0.0000
HG01094,0.1037,0.3708,0.0000,0.5255,0.0000
HG03643,0.0000,0.0000,0.0000,0.0000,1.0000
HG01177,0.0114,0.5484,0.0000,0.4402,0.0000
NA19027,1.0000,0.0000,0.0000,0.0000,0.0000
HG01530,0.0101,0.0000,0.0000,0.9899,0.0000
HG01889,1.0000,0.0000,0.0000,0.0000,0.0000
HG01810,0.0000,0.0000,1.0000,0.0000,0.0000
NA21086,0.0000,0.0000,0.0000,0.0000,1.0000
HG00255,0.0000,0.0000,0.0000,1.0000,0.0000
HG02561,1.0000,0.0000,0.0000,0.0000,0.0000
NA21112,0.0000,0.0000,0.0000,0.0000,1.0000
HG00358,0.0000,0.0000,0.0620,0.9380,0.0000
HG03279,1.0000,-0.0000,0.0000,0.0000,0.0000
HG01883,0.9119,0.0000,0.0000,0.0881,0.0000
HG01917,0.0000,0.9253,0.0747,0.0000,0.0000
HG01440,0.1011,0.7666,0.0000,0.1323,0.0000
HG03303,1.0000,0.0000,0.0000,0.0000,0.0000
HG01437,0.0000,0.2872,0.0000,0.7128,0.0000
HG03297,1.0000,0.0000,0.0000,0.0000,0.0000
HG02946,1.0000,0.0000,0.0000,0.0000,0.0000
HG00325,0.0000,0.0000,0.0547,0.9453,0.0000
HG03649,0.0000,0.0000,0.0000,0.1068,0.8932
HG01070,0.0000,0.4616,0.0000,0.5384,0.0000
NA20340,0.8855,0.0000,0.0000,0.1145,0.0000
HG03733,0.0000,0.0000,0.0000,0.0000,1.0000
NA18748,0.0000,0.0000,1.0000,0.0000,0.0000
NA20509,0.0000,0.0000,0.0000,1.0000,0.0000
NA19664,0.0000,0.9374,0.0626,0.0000,0.0000
HG03077,1.0000,0.0000,0.0000,0.0000,0.0000
NA18531,0.0000,0.0177,0.9823,0.0000,0.0000
HG02322,0.8997,0.0000,0.0000,0.1003,0.0000
HG03967,0.0000,0.0000,0.0000,0.0000,1.0000
NA19223,1.0000,0.0000,0.0000,0.0000,0.0000
HG03884,0.0000,0.0000,0.0000,0.0000,1.0000
HG03989,0.0000,0.0000,0.0000,0.0000,1.0000
NA18961,0.0000,0.0000,1.0000,0.0000,0.0000
HG02252,0.0000,1.0000,0.0000,0.0000,0.0000
HG03817,0.0000,0.0000,0.0000,0.0000,1.0000
NA19324,1.0000,0.0000,0.0000,0.0000,0.0000
HG00121,0.0000,0.0000,0.0000,1.0000,0.0000
NA20503,0.0000,0.0000,0.0000,1.0000,0.0000
NA20854,0.0000,0.0000,0.0000,0.1277,0.8723
HG02429,0.9588,0.0000,0.0000,0.0412,0.0000
HG03241,1.0000,0.0000,0.0000,0.0000,0.0000
NA19452,1.0000,0.0000,0.0000,0.0000,0.0000
HG01855,0.0000,0.0000,1.0000,0.0000,0.0000
HG00657,0.0000,0.0000,1.0000,0.0000,0.0000
HG02019,0.0000,0.0000,1.0000,0.0000,0.0000
NA19118,1.0000,0.0000,0.0000,0.0000,0.0000
HG01048,0.0718,0.4014,0.0000,0.5268,0.0000
HG02013,1.0000,0.0000,0.0000,0.0000,0.0000
NA19086,0.0000,0.0000,1.0000,0.0000,0.0000
HG03695,0.0000,0.0000,0.0000,0.0000,1.0000
NA20291,1.0000,0.0000,0.0000,0.0000,0.0000
HG04152,0.0000,0.0000,0.1011,0.0000,0.8989
HG01405,0.0727,0.3477,0.0000,0.5797,0.0000
NA19385,0.9996,0.0000,0.0004,0.0000,0.0000
HG03955,0.0000,0.0000,0.0000,0.0000,1.0000
HG01341,0.0000,0.9681,0.0319,0.0000,0.0000
HG03858,0.0000,0.0000,0.0000,0.0000,1.0000
NA18959,0.0000,0.0000,1.0000,0.0000,0.0000
HG02284,0.8935,0.0000,0.0000,0.1065,0.0000
HG02367,0.0000,0.0000,1.0000,0.0000,0.0000
NA20882,0.0000,0.0000,0.0000,0.1645,0.8355
HG01771,0.0000,0.0000,0.0000,1.0000,0.0000
HG00119,0.0000,0.0000,0.0000,1.0000,0.0000
HG01795,0.0000,0.0000,1.0000,0.0000,0.0000
HG03135,1.0000,0.0000,0.0000,0.0000,0.0000
NA19726,0.0000,0.9374,0.0626,0.0000,0.0000
NA20811,0.0000,0.0000,0.0000,1.0000,0.0000
NA20866,0.0000,0.0000,0.0000,0.0916,0.9084
HG00113,0.0000,0.0000,0.0000,1.0000,0.0000
NA12287,0.0000,0.0000,0.0000,1.0000,0.0000
HG03491,0.0000,0.0000,0.0000,0.0000,1.0000
HG03928,0.0000,0.0000,0.0641,0.0000,0.9359
HG03572,1.0000,0.0000,0.0000,0.0000,0.0000
NA19316,1.0000,0.0000,0.0000,0.0000,0.0000
HG02260,0.0000,0.9121,0.0879,0.0000,0.0000
NA07056,0.0000,0.0000,0.0000,1.0000,0.0000
HG01595,0.0000,0.0000,1.0000,0.0000,0.0000
HG03342,1.0000,0.0000,0.0000,0.0000,0.0000
HG01498,0.0000,0.8625,0.0000,0.1375,0.0000
HG03238,0.0000,0.0000,0.0000,0.2966,0.7034
HG01921,0.0000,0.9250,0.0750,0.0000,0.0000
HG02450,0.9800,0.0000,0.0000,0.0200,0.0000
HG00364,0.0000,0.0000,0.0459,0.9541,0.0000
HG00313,0.0000,0.0000,0.0505,0.9495,0.0000
HG00269,0.0000,0.0000,0.0353,0.9647,0.0000
HG02970,1.0000,0.0000,0.0000,0.0000,0.0000
HG03691,0.0000,0.0000,0.0000,0.0000,1.0000
HG03705,0.0000,0.0000,0.0000,0.0000,1.0000
